Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-12-02,665.2421720416332,669.706884605671,654.8245239257812,654.8245239257812,13200,0.0,0.0
2003-12-03,650.3597092212038,650.3597092212038,625.0596607981862,638.4537963867188,21120,0.0,0.0
2003-12-04,639.9420514774067,639.9420514774067,625.0596923828125,625.0596923828125,7440,0.0,0.0
2003-12-05,636.9657592773438,636.9657592773438,636.9657592773438,636.9657592773438,10800,0.0,0.0
2003-12-08,625.0596070687129,625.0596070687129,583.3889811310314,585.1748657226562,11520,0.0,0.0
2003-12-09,589.3419399261475,589.3419399261475,571.4830932617188,571.4830932617188,40320,0.0,0.0
2003-12-10,598.2713522086466,598.2713522086466,592.3184179640175,593.806640625,52800,0.0,0.0
2003-12-11,589.3418901204792,589.3418901204792,568.5065562392201,574.4595336914062,39600,0.0,0.0
2003-12-12,592.3185977200596,595.2950439453125,592.3185977200596,595.2950439453125,2160,0.0,0.0
2003-12-15,596.7832429357551,596.7832429357551,586.3655515274315,589.342041015625,28800,0.0,0.0
2003-12-16,589.342041015625,595.2949763913047,586.6632135564631,589.342041015625,17280,0.0,0.0
2003-12-17,586.3654174804688,586.3654174804688,580.4124834656687,586.3654174804688,2160,0.0,0.0
2003-12-18,578.6266641764323,583.3890380859375,568.5066359689973,583.3890380859375,26400,0.0,0.0
2003-12-19,592.3184493417602,592.3184493417602,580.4125366210938,580.4125366210938,10800,0.0,0.0
2003-12-22,574.4596447739216,580.4125797765229,571.7808174826454,574.7572631835938,40800,0.0,0.0
2003-12-23,574.7572631835938,574.7572631835938,574.7572631835938,574.7572631835938,0,0.0,0.0
2003-12-24,574.4597251313046,574.4597251313046,550.945556640625,550.945556640625,33840,0.0,0.0
2003-12-25,550.6478945886104,550.945556640625,548.5643910266398,550.945556640625,68400,0.0,0.0
2003-12-26,565.5301803391787,565.5301803391787,553.624267578125,553.624267578125,14400,0.0,0.0
2003-12-29,571.4830932617188,578.9242939054641,566.7207196176379,571.4830932617188,32160,0.0,0.0
2003-12-30,576.8406938209944,581.6030670238764,572.0783206181123,577.4359741210938,37440,0.0,0.0
2003-12-31,577.4359741210938,577.4359741210938,577.4359741210938,577.4359741210938,0,0.0,0.0
